query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T066,Temporal,38.80,600,"{'_source': {'id1': 'id003', 'id2': 'id064', 'value': 12.559639}}",,asap
T067,Temporal,33.25,600,"{'_source': {'id1': 'id033', 'id2': 'id096', 'value': 82.922598}}",,asap
T068,Temporal,16.92,600,"{'_source': {'id1': 'id081', 'id2': 'id059', 'value': 85.770526}}",,asap
T069,Temporal,33.40,600,"{'_source': {'id1': 'id067', 'id2': 'id044', 'value': 96.998702}}",,asap
T070,Temporal,32.88,600,"{'_source': {'id1': 'id048', 'id2': 'id061', 'value': 47.637675}}",,asap
T071,Temporal,32.76,600,"{'_source': {'id1': 'id085', 'id2': 'id099', 'value': 38.561666}}",,asap
T072,Temporal,38.46,600,"{'_source': {'id1': 'id065', 'id2': 'id075', 'value': 76.893923}}",,asap
T073,Temporal,32.79,600,"{'_source': {'id1': 'id057', 'id2': 'id090', 'value': 5.095794}}",,asap
T074,Temporal,32.76,600,"{'_source': {'id1': 'id031', 'id2': 'id010', 'value': 14.402853}}",,asap
T075,Temporal,33.47,600,"{'_source': {'id1': 'id056', 'id2': 'id013', 'value': 68.90866}}",,asap
T076,Temporal,34.28,600,"{'_source': {'id1': 'id092', 'id2': 'id010', 'value': 0.411827}}",,asap
T077,Temporal,33.32,600,"{'_source': {'id1': 'id062', 'id2': 'id085', 'value': 57.93653}}",,asap
T078,Temporal,32.90,600,"{'_source': {'id1': 'id034', 'id2': 'id045', 'value': 13.119357}}",,asap
T079,Temporal,51.99,600,"{'_source': {'id1': 'id015', 'id2': 'id091', 'value': 48.690095}}",,asap
T080,Temporal,32.53,600,"{'_source': {'id1': 'id047', 'id2': 'id027', 'value': 99.109987}}",,asap
T081,Temporal,22.28,600,"{'_source': {'id1': 'id074', 'id2': 'id071', 'value': 19.102763}}",,asap
T082,Temporal,27.20,600,"{'_source': {'id1': 'id041', 'id2': 'id080', 'value': 46.714504}}",,asap
T083,Temporal,22.24,600,"{'_source': {'id1': 'id011', 'id2': 'id047', 'value': 60.722216}}",,asap
T084,Temporal,27.33,600,"{'_source': {'id1': 'id054', 'id2': 'id098', 'value': 15.55974}}",,asap
T085,Temporal,22.37,600,"{'_source': {'id1': 'id012', 'id2': 'id050', 'value': 97.852363}}",,asap
T086,Temporal,26.86,600,"{'_source': {'id1': 'id091', 'id2': 'id009', 'value': 30.78633}}",,asap
T087,Temporal,27.42,600,"{'_source': {'id1': 'id060', 'id2': 'id001', 'value': 18.216047}}",,asap
T088,Temporal,26.93,600,"{'_source': {'id1': 'id061', 'id2': 'id085', 'value': 60.468527}}",,asap
T089,Temporal,28.06,600,"{'_source': {'id1': 'id098', 'id2': 'id074', 'value': 30.222822}}",,asap
