query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T126,Temporal,26.27,584,[28.756271],,baseline
T127,Temporal,26.67,588,[29.130652],,baseline
T128,Temporal,26.26,581,[64.583766],,baseline
T129,Temporal,26.77,578,[25.047401],,baseline
T130,Temporal,26.57,581,[37.994107],,baseline
T131,Temporal,24.42,587,[39.794437],,baseline
T132,Temporal,26.96,583,[1.832319],,baseline
T133,Temporal,26.25,582,[76.549819],,baseline
T134,Temporal,26.31,584,[72.225555],,baseline
T135,Temporal,26.00,583,[54.57591],,baseline
T136,Temporal,25.70,583,[52.095673],,baseline
T137,Temporal,26.79,585,[1.843306],,baseline
T138,Temporal,27.12,587,[6.647925],,baseline
T139,Temporal,26.55,584,[94.425215],,baseline
T140,Temporal,26.84,585,[29.598133],,baseline
T141,Temporal,26.81,576,[48.676164],,baseline
T142,Temporal,27.10,581,[21.601999],,baseline
T143,Temporal,26.99,586,[2.743922],,baseline
T144,Temporal,26.57,584,[60.157846],,baseline
T145,Temporal,26.74,586,[46.011285],,baseline
T146,Temporal,26.42,576,[78.320507],,baseline
T147,Temporal,26.78,582,[10.086801],,baseline
T148,Temporal,26.30,578,[64.000402],,baseline
T149,Temporal,25.87,578,[23.015831],,baseline
T150,Temporal,26.10,588,[50.257156],,baseline
T151,Temporal,26.31,580,[28.713017],,baseline
T152,Temporal,26.21,584,[86.308421],,baseline
T153,Temporal,26.15,581,[65.479805],,baseline
T154,Temporal,26.04,578,[38.897006],,baseline
T155,Temporal,26.44,582,[22.238442],,baseline
T156,Temporal,26.19,580,[87.479277],,baseline
T157,Temporal,26.19,586,[0.123636],,baseline
T158,Temporal,26.55,588,[51.923802],,baseline
T159,Temporal,26.41,585,[93.247753],,baseline
T160,Temporal,26.49,583,[52.983689],,baseline
T161,Temporal,26.34,577,[8.379444],,baseline
T162,Temporal,26.22,584,[62.489626],,baseline
T163,Temporal,26.01,587,[17.883937],,baseline
T164,Temporal,25.95,581,[51.906239],,baseline
T165,Temporal,26.00,578,[23.320524],,baseline
T166,Temporal,26.23,584,[65.933288],,baseline
T167,Temporal,26.20,584,[97.4923554],,baseline
T168,Temporal,26.13,581,[11.663165],,baseline
T169,Temporal,26.13,586,[0.851541],,baseline
T170,Temporal,26.22,583,[13.783397],,baseline
T171,Temporal,26.18,577,[44.286287],,baseline
T172,Temporal,15.79,580,[40.209282],,baseline
T173,Temporal,26.76,584,[35.959424],,baseline
T174,Temporal,26.41,588,[82.176065],,baseline
T175,Temporal,25.95,582,[98.923286],,baseline
T176,Temporal,30.18,585,[82.234907],,baseline
T177,Temporal,24.37,590,[98.466991],,baseline
T178,Temporal,26.16,582,[59.191428],,baseline
T179,Temporal,26.14,583,[86.418874],,baseline
T180,Temporal,26.10,575,[92.776119],,baseline
T181,Temporal,26.25,583,[29.678231],,baseline
T182,Temporal,26.13,586,[68.539681],,baseline
T183,Temporal,26.38,578,[4.785234],,baseline
T184,Temporal,26.92,588,[84.912945],,baseline
T185,Temporal,26.13,583,[40.77617],,baseline
T186,Temporal,26.16,581,[48.817617],,baseline
T187,Temporal,26.14,580,[44.974772],,baseline
T188,Temporal,26.26,579,[34.654035],,baseline
T189,Temporal,25.93,574,[50.39221],,baseline
T190,Temporal,26.57,579,[1.626734],,baseline
T191,Temporal,21.83,585,[62.157461],,baseline
T192,Temporal,26.36,577,[15.158046],,baseline
T193,Temporal,26.75,585,[44.296096],,baseline
T194,Temporal,25.99,582,[53.932147],,baseline
T195,Temporal,26.93,583,[21.625897],,baseline
T196,Temporal,27.21,588,[69.898615],,baseline
T197,Temporal,26.98,584,[66.306578],,baseline
T198,Temporal,26.57,589,[67.04831],,baseline
T199,Temporal,26.47,581,[9.324516],,baseline
T200,Temporal,26.66,587,[11.402907],,baseline
T201,Temporal,26.02,586,[59.34904],,baseline
T202,Temporal,19.18,584,[54.280728],,baseline
T203,Temporal,26.91,583,[58.281689],,baseline
T204,Temporal,27.62,588,[31.666733],,baseline
T205,Temporal,27.21,581,[67.26017965000001],,baseline
T206,Temporal,26.61,583,[24.887746],,baseline
T207,Temporal,26.37,587,[45.381633],,baseline
T208,Temporal,26.45,586,[46.716924],,baseline
T209,Temporal,26.16,592,[59.033477],,baseline
T210,Temporal,26.43,583,[37.974106],,baseline
T211,Temporal,26.23,582,[13.433612],,baseline
T212,Temporal,26.01,582,[12.82169],,baseline
T213,Temporal,25.98,586,[30.887694],,baseline
T214,Temporal,22.22,589,[11.79879],,baseline
T215,Temporal,26.24,582,[54.607188],,baseline
T216,Temporal,26.13,582,[91.223286],,baseline
T217,Temporal,26.17,586,[4.555611],,baseline
T218,Temporal,25.46,588,[21.325481],,baseline
T219,Temporal,25.89,581,[84.029676],,baseline
T220,Temporal,25.91,584,[91.115232],,baseline
T221,Temporal,26.14,586,[0.968357],,baseline
