query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T056,Temporal,23.37,600,"{'_source': {'id1': 'id047', 'id2': 'id037', 'value': 85.3099}}",,asap
T057,Temporal,26.75,600,"{'_source': {'id1': 'id022', 'id2': 'id025', 'value': 28.356825}}",,asap
T058,Temporal,15.72,600,"{'_source': {'id1': 'id053', 'id2': 'id084', 'value': 14.844787}}",,asap
T059,Temporal,14.99,600,"{'_source': {'id1': 'id077', 'id2': 'id019', 'value': 60.179669}}",,asap
T060,Temporal,27.36,600,"{'_source': {'id1': 'id086', 'id2': 'id082', 'value': 39.246744}}",,asap
T061,Temporal,29.34,600,"{'_source': {'id1': 'id085', 'id2': 'id087', 'value': 93.192138}}",,asap
T062,Temporal,27.41,600,"{'_source': {'id1': 'id040', 'id2': 'id004', 'value': 53.076429}}",,asap
T063,Temporal,31.12,600,"{'_source': {'id1': 'id011', 'id2': 'id027', 'value': 3.709758}}",,asap
T064,Temporal,26.67,600,"{'_source': {'id1': 'id011', 'id2': 'id084', 'value': 39.402892}}",,asap
T065,Temporal,26.12,600,"{'_source': {'id1': 'id090', 'id2': 'id040', 'value': 87.615611}}",,asap
T066,Temporal,18.31,600,"{'_source': {'id1': 'id061', 'id2': 'id081', 'value': 3.983711}}",,asap
T067,Temporal,26.72,600,"{'_source': {'id1': 'id051', 'id2': 'id017', 'value': 37.669264}}",,asap
T068,Temporal,26.22,600,"{'_source': {'id1': 'id036', 'id2': 'id044', 'value': 90.0825}}",,asap
T069,Temporal,27.27,600,"{'_source': {'id1': 'id012', 'id2': 'id057', 'value': 54.318569}}",,asap
T070,Temporal,28.85,600,"{'_source': {'id1': 'id015', 'id2': 'id028', 'value': 86.435322}}",,asap
T071,Temporal,26.69,600,"{'_source': {'id1': 'id091', 'id2': 'id055', 'value': 14.908574}}",,asap
T072,Temporal,32.02,600,"{'_source': {'id1': 'id070', 'id2': 'id013', 'value': 23.817665}}",,asap
T073,Temporal,28.24,600,"{'_source': {'id1': 'id066', 'id2': 'id096', 'value': 16.358614}}",,asap
T074,Temporal,24.12,600,"{'_source': {'id1': 'id029', 'id2': 'id006', 'value': 33.98152}}",,asap
