query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T085,Temporal,53.00,1000,"['id001', 'id001', 98.911227]",,baseline
T086,Temporal,52.00,1000,"['id001', 'id001', 74.56779]",,baseline
T087,Temporal,50.34,1000,"['id001', 'id001', 98.187109]",,baseline
T088,Temporal,47.99,1000,"['id001', 'id001', 75.042476]",,baseline
T089,Temporal,61.83,1000,"['id001', 'id001', 93.317571]",,baseline
T090,Temporal,60.38,1000,"['id001', 'id001', 97.591051]",,baseline
T091,Temporal,54.41,1000,"['id001', 'id001', 93.138132]",,baseline
T092,Temporal,60.10,1000,"['id001', 'id001', 77.329354]",,baseline
T093,Temporal,52.35,1000,"['id001', 'id001', 89.001589]",,baseline
T094,Temporal,60.63,1000,"['id001', 'id001', 99.296594]",,baseline
T095,Temporal,56.13,1000,"['id001', 'id001', 22.643547]",,baseline
T096,Temporal,75.98,1000,"['id001', 'id001', 73.775263]",,baseline
T097,Temporal,50.49,1000,"['id001', 'id001', 90.823813]",,baseline
T098,Temporal,51.59,1000,"['id001', 'id001', 96.081273]",,baseline
T099,Temporal,50.83,1000,"['id001', 'id001', 98.105787]",,baseline
T100,Temporal,50.96,1000,"['id001', 'id001', 52.581372]",,baseline
T101,Temporal,52.12,1000,"['id001', 'id001', 74.794722]",,baseline
T102,Temporal,56.64,1000,"['id001', 'id001', 89.429155]",,baseline
T103,Temporal,51.82,1000,"['id001', 'id001', 82.406469]",,baseline
T104,Temporal,63.46,1000,"['id001', 'id001', 94.427966]",,baseline
T105,Temporal,54.53,1000,"['id001', 'id001', 94.912033]",,baseline
T106,Temporal,60.24,1000,"['id001', 'id001', 74.376324]",,baseline
T107,Temporal,53.59,1000,"['id001', 'id001', 78.473022]",,baseline
T108,Temporal,53.41,1000,"['id001', 'id001', 94.092803]",,baseline
T109,Temporal,52.27,1000,"['id001', 'id001', 66.356058]",,baseline
T110,Temporal,52.78,1000,"['id001', 'id001', 96.266471]",,baseline
T111,Temporal,71.73,1000,"['id001', 'id001', 71.131767]",,baseline
T112,Temporal,52.49,1000,"['id001', 'id001', 97.089794]",,baseline
T113,Temporal,50.46,1000,"['id001', 'id001', 97.015969]",,baseline
T114,Temporal,66.44,1000,"['id001', 'id001', 93.206724]",,baseline
T115,Temporal,51.66,1000,"['id001', 'id001', 33.372969]",,baseline
T116,Temporal,53.64,1000,"['id001', 'id001', 60.08072]",,baseline
T117,Temporal,49.90,1000,"['id001', 'id001', 75.78095]",,baseline
T118,Temporal,54.42,1000,"['id001', 'id001', 97.100629]",,baseline
T119,Temporal,50.90,1000,"['id001', 'id001', 96.59247]",,baseline
T120,Temporal,63.57,1000,"['id001', 'id001', 47.40196]",,baseline
T121,Temporal,53.19,1000,"['id001', 'id001', 99.95808]",,baseline
T122,Temporal,49.92,1000,"['id001', 'id001', 81.167448]",,baseline
T123,Temporal,59.19,1000,"['id001', 'id001', 87.520141]",,baseline
T124,Temporal,49.03,1000,"['id001', 'id001', 84.478978]",,baseline
T125,Temporal,47.85,1000,"['id001', 'id001', 97.718323]",,baseline
T126,Temporal,70.39,1000,"['id001', 'id001', 83.26165]",,baseline
T127,Temporal,51.95,1000,"['id001', 'id001', 84.826029]",,baseline
T128,Temporal,52.62,1000,"['id001', 'id001', 97.365304]",,baseline
T129,Temporal,50.28,1000,"['id001', 'id001', 52.13947]",,baseline
T130,Temporal,54.38,1000,"['id001', 'id001', 85.983132]",,baseline
T131,Temporal,61.72,1000,"['id001', 'id001', 97.641458]",,baseline
T132,Temporal,52.04,1000,"['id001', 'id001', 65.332989]",,baseline
T133,Temporal,71.42,1000,"['id001', 'id001', 85.650453]",,baseline
T134,Temporal,56.05,1000,"['id001', 'id001', 94.279169]",,baseline
T135,Temporal,58.69,1000,"['id001', 'id001', 89.547262]",,baseline
T136,Temporal,57.09,1000,"['id001', 'id001', 95.480832]",,baseline
T137,Temporal,47.06,1000,"['id001', 'id001', 79.922554]",,baseline
T138,Temporal,75.86,1000,"['id001', 'id001', 96.18234]",,baseline
T139,Temporal,61.26,1000,"['id001', 'id001', 88.493454]",,baseline
