query_id,query_pattern,latency_ms,result_rows,result_preview,error,mode
T172,Temporal,17.71,580,"['id001', 'id032', 40.209282]",,baseline
T173,Temporal,17.48,584,"['id001', 'id040', 35.959424]",,baseline
T174,Temporal,14.17,588,"['id001', 'id012', 82.176065]",,baseline
T175,Temporal,18.07,582,"['id001', 'id001', 98.923286]",,baseline
T176,Temporal,17.71,585,"['id001', 'id001', 82.234907]",,baseline
T177,Temporal,16.92,590,"['id001', 'id037', 98.466991]",,baseline
T178,Temporal,21.87,582,"['id001', 'id013', 59.191428]",,baseline
T179,Temporal,18.35,583,"['id001', 'id009', 86.418874]",,baseline
T180,Temporal,13.87,575,"['id001', 'id020', 92.776119]",,baseline
T181,Temporal,14.21,583,"['id001', 'id011', 29.678231]",,baseline
T182,Temporal,16.25,586,"['id001', 'id023', 68.539681]",,baseline
T183,Temporal,20.05,578,"['id001', 'id015', 4.785234]",,baseline
T184,Temporal,23.63,588,"['id001', 'id006', 84.912945]",,baseline
T185,Temporal,20.46,583,"['id001', 'id003', 40.77617]",,baseline
T186,Temporal,20.70,581,"['id001', 'id014', 48.817617]",,baseline
T187,Temporal,19.16,580,"['id001', 'id022', 44.974772]",,baseline
T188,Temporal,22.21,579,"['id001', 'id014', 34.654035]",,baseline
T189,Temporal,20.59,574,"['id001', 'id039', 50.39221]",,baseline
T190,Temporal,19.38,579,"['id001', 'id008', 1.626734]",,baseline
T191,Temporal,24.69,585,"['id001', 'id022', 62.157461]",,baseline
T192,Temporal,21.62,577,"['id001', 'id011', 15.158046]",,baseline
T193,Temporal,16.54,585,"['id001', 'id020', 44.296096]",,baseline
T194,Temporal,16.36,582,"['id001', 'id031', 53.932147]",,baseline
T195,Temporal,22.48,583,"['id001', 'id004', 21.625897]",,baseline
T196,Temporal,16.19,588,"['id001', 'id019', 69.898615]",,baseline
T197,Temporal,25.50,584,"['id001', 'id013', 66.306578]",,baseline
T198,Temporal,13.11,589,"['id001', 'id006', 67.04831]",,baseline
T199,Temporal,24.35,581,"['id001', 'id024', 9.324516]",,baseline
T200,Temporal,21.12,587,"['id001', 'id006', 11.402907]",,baseline
T201,Temporal,24.28,586,"['id001', 'id032', 59.34904]",,baseline
T202,Temporal,17.19,584,"['id001', 'id001', 54.280728]",,baseline
T203,Temporal,19.39,583,"['id001', 'id010', 58.281689]",,baseline
T204,Temporal,25.58,588,"['id001', 'id024', 31.666733]",,baseline
T205,Temporal,19.42,581,"['id001', 'id009', 67.26017965000001]",,baseline
T206,Temporal,22.17,583,"['id001', 'id014', 24.887746]",,baseline
